"","x"
"Legislator 433",484
"Legislator 434",138
"Legislator 435",99
"Legislator 436",410.5
"Legislator 437",106.5
"Legislator 438",273.5
"Legislator 439",478.5
"Legislator 440",253
"Legislator 441",436
"Legislator 442",366.5
"Legislator 443",93
"Legislator 444",347
"Legislator 445",309
"Legislator 446",273.5
"Legislator 447",641
"Legislator 448",20.5
"Legislator 449",100.5
"Legislator 450",112
"Legislator 451",335
"Legislator 452",361.5
"Legislator 453",309
"Legislator 454",309
"Legislator 455",39.5
"Legislator 456",631
"Legislator 457",570
"Legislator 458",131
"Legislator 459",141.5
"Legislator 460",513
"Legislator 461",200
"Legislator 462",76
"Legislator 463",7.5
"Legislator 464",475.5
"Legislator 465",121
"Legislator 466",483
"Legislator 467",26
"Legislator 468",200
"Legislator 469",526
"Legislator 470",544
"Legislator 471",570
"Legislator 472",662.5
"Legislator 473",57
"Legislator 474",645
"Legislator 475",161.5
"Legislator 476",309
"Legislator 477",59.5
"Legislator 478",604.5
"Legislator 479",90
"Legislator 480",76
"Legislator 481",20.5
"Legislator 482",357.5
"Legislator 483",273.5
"Legislator 484",309
"Legislator 485",539
"Legislator 486",85.5
"Legislator 487",309
"Legislator 488",309
"Legislator 489",404
"Legislator 490",174
"Legislator 491",242
"Legislator 492",526
"Legislator 493",59.5
"Legislator 494",132.5
"Legislator 495",132.5
"Legislator 496",200
"Legislator 497",2
"Legislator 498",30
"Legislator 499",589
"Legislator 500",76
"Legislator 501",242
"Legislator 502",634.5
"Legislator 503",309
"Legislator 504",229.5
"Legislator 505",452
"Legislator 506",649
"Legislator 507",157
"Legislator 508",376
"Legislator 509",649
"Legislator 510",103.5
"Legislator 511",496
"Legislator 512",309
"Legislator 513",592
"Legislator 514",152.5
"Legislator 515",273.5
"Legislator 516",157
"Legislator 517",121
"Legislator 518",499
"Legislator 519",526
"Legislator 520",366.5
"Legislator 521",309
"Legislator 522",138
"Legislator 523",253
"Legislator 524",625
"Legislator 525",462
"Legislator 526",216
"Legislator 527",178
"Legislator 528",433
"Legislator 529",83.5
"Legislator 530",463.5
"Legislator 531",20.5
"Legislator 532",20.5
"Legislator 533",50
"Legislator 534",589
"Legislator 535",363.5
"Legislator 536",76
"Legislator 537",15
"Legislator 538",273.5
"Legislator 539",612.5
"Legislator 540",659
"Legislator 541",273.5
"Legislator 542",242
"Legislator 543",412
"Legislator 544",555
"Legislator 545",87
"Legislator 546",410.5
"Legislator 547",126
"Legislator 548",76
"Legislator 549",253
"Legislator 550",200
"Legislator 551",225
"Legislator 552",354.5
"Legislator 553",395
"Legislator 554",485
"Legislator 555",491.5
"Legislator 556",347
"Legislator 557",555
"Legislator 558",253
"Legislator 559",253
"Legislator 560",161.5
"Legislator 561",612.5
"Legislator 562",545
"Legislator 563",641
"Legislator 564",273.5
"Legislator 565",604.5
"Legislator 566",570
"Legislator 567",235.5
"Legislator 568",626
"Legislator 569",39.5
"Legislator 570",3
"Legislator 571",200
"Legislator 572",50
"Legislator 573",76
"Legislator 574",229.5
"Legislator 575",392
"Legislator 576",103.5
"Legislator 577",175.5
"Legislator 578",552
"Legislator 579",31.5
"Legislator 580",309
"Legislator 581",446
"Legislator 582",309
"Legislator 583",615
"Legislator 584",435
"Legislator 585",629.5
"Legislator 586",504
"Legislator 587",309
"Legislator 588",273.5
"Legislator 589",91
"Legislator 590",526
"Legislator 591",594
"Legislator 592",488
"Legislator 593",466
"Legislator 594",658
"Legislator 595",11
"Legislator 596",171.5
"Legislator 597",183
"Legislator 598",438
"Legislator 599",497
"Legislator 600",229.5
"Legislator 601",309
"Legislator 602",273.5
"Legislator 603",444.5
"Legislator 604",309
"Legislator 605",508.5
"Legislator 606",508.5
"Legislator 607",604.5
"Legislator 608",124.5
"Legislator 609",490
"Legislator 610",134
"Legislator 611",309
"Legislator 612",380
"Legislator 613",273.5
"Legislator 614",354.5
"Legislator 615",309
"Legislator 616",7.5
"Legislator 617",473
"Legislator 618",88
"Legislator 619",552
"Legislator 620",200
"Legislator 621",526
"Legislator 622",237.5
"Legislator 623",454.5
"Legislator 624",335
"Legislator 625",598
"Legislator 626",128.5
"Legislator 627",637
"Legislator 628",390.5
"Legislator 629",619
"Legislator 630",76
"Legislator 631",457
"Legislator 632",634.5
"Legislator 633",434
"Legislator 634",253
"Legislator 635",34.5
"Legislator 636",655
"Legislator 637",612.5
"Legislator 638",183
"Legislator 639",641
"Legislator 640",439
"Legislator 641",649
"Legislator 642",559
"Legislator 643",146
"Legislator 644",233.5
"Legislator 645",372.5
"Legislator 646",463.5
"Legislator 647",244
"Legislator 648",576
"Legislator 649",146
"Legislator 650",378.5
"Legislator 651",628
"Legislator 652",653
"Legislator 653",309
"Legislator 654",413
"Legislator 655",394
"Legislator 656",487
"Legislator 657",64.5
"Legislator 658",361.5
"Legislator 659",82
"Legislator 660",50
"Legislator 661",171.5
"Legislator 662",11
"Legislator 663",526
"Legislator 664",565.5
