"","coord1D","coord2D"
"Legislator 85",0.270482190275683,0.66908745545788
"Legislator 86",-0.403486897325082,-0.0650976863595553
"Legislator 87",-0.408157611130592,-0.0699512291523764
"Legislator 88",-0.431231998731268,-0.0834398434453711
"Legislator 89",0.309608867316207,0.65963669286208
"Legislator 90",-0.400732297810167,0.00736836243363856
"Legislator 91",-0.381006633825726,-0.0708160708211964
"Legislator 92",-0.318437237233941,0.241836936909623
"Legislator 93",-0.514026002486257,-0.163404553831078
"Legislator 94",-0.427330338670095,-0.0900970254837044
"Legislator 95",-0.403486897325082,-0.0614634255612131
"Legislator 96",0.928412651869019,-0.16526846357645
"Legislator 97",-0.399205643786674,0.0234693018103884
"Legislator 98",-0.432540961188926,-0.0139933651153445
"Legislator 99",-0.426837873904616,-0.0900388832019362
"Legislator 100",0.884607499788796,-0.118639703845645
"Legislator 101",-0.372823903056094,0.00618239000309518
"Legislator 102",0.290094136605969,0.709970532437438
"Legislator 103",-0.381824835219566,0.00677154175187428
"Legislator 104",0.948654259204648,-0.111359389123029
"Legislator 105",-0.415984669494201,-0.067051160906945
"Legislator 106",-0.39327188822799,0.0568754725940786
"Legislator 107",0.910752661933971,-0.106720918750909
"Legislator 108",0.963822083277447,2.72134745293862e-17
"Legislator 109",-0.409732591001982,-0.0193980176779917
"Legislator 110",-0.384862831932434,-0.0692862383986
"Legislator 111",-0.426944134736677,-0.0774010212135991
"Legislator 112",0.878791878013667,-0.179328425838246
"Legislator 113",-0.403486897325082,-0.0504069665173476
"Legislator 114",-0.417870560863151,-0.0679981813671601
"Legislator 115",-0.481516372908201,-0.161562103957201
"Legislator 116",0.895082949704137,-0.139619424354442
"Legislator 117",-0.365718451461333,-0.0346754492347424
"Legislator 118",-0.387590849011441,-0.00367702857135217
"Legislator 119",-0.401714327768923,-0.0571525225812923
"Legislator 120",0.869763898399749,-0.147952597007526
"Legislator 121",-0.352832861373483,0.0519662230823512
"Legislator 122",-0.401839872125184,-0.0695028662392537
"Legislator 123",-0.405560382048794,-0.0680826178982748
"Legislator 124",-0.419360274893223,-0.0101579695147037
"Legislator 125",-0.423538791540802,-0.0378862634925297
"Legislator 126",0.868071642730142,-0.141980829722517
"Legislator 127",-0.385619600841051,-0.0626086519418517
"Legislator 128",0.797028238782303,-0.265903417154176
"Legislator 129",-0.375701898721421,0.0244965026921428
"Legislator 130",-0.304113571833482,-0.00271544781903565
"Legislator 131",-0.41786275267954,-0.0640083486920868
"Legislator 132",-0.458033877917734,-0.0993853957524582
"Legislator 133",-0.396382222899758,-0.0766929756020931
"Legislator 134",-0.362652977997904,0.159529230669853
